1.2500000045864244e-03 9.9999999633086056e-01 2.9952410572158898e-09 9.9999999388476760e+02 1.4999999963308605e+03
3.7500000189646327e-03 9.9999999216657287e-01 6.3946863793673565e-09 9.9999998694429030e+02 1.4999999921665758e+03
6.2500000369539871e-03 9.9999999344194312e-01 5.3535618944230230e-09 9.9999998906990345e+02 1.4999999934419402e+03
8.7500000591157305e-03 9.9999998882866215e-01 9.1195349624570337e-09 9.9999998138110129e+02 1.4999999888286584e+03
1.1250000093844756e-02 9.9999998338811813e-01 1.3560833089987865e-08 9.9999997231353075e+02 1.4999999833881186e+03
1.3750000145862340e-02 9.9999997499781534e-01 2.0410119447634424e-08 9.9999995832969125e+02 1.4999999749978131e+03
1.6250000224194643e-02 9.9999996233634325e-01 3.0746097753052885e-08 9.9999993722724071e+02 1.4999999623363447e+03
1.8750000341917976e-02 9.9999994348499277e-01 4.6135078157545959e-08 9.9999990580833821e+02 1.4999999434850149e+03
2.1250000518093285e-02 9.9999991557476708e-01 6.8919137317220354e-08 9.9999985929127445e+02 1.4999999155747537e+03
2.3750000780593881e-02 9.9999987442477278e-01 1.0251124444883579e-07 9.9999979070797451e+02 1.4999998744247866e+03
2.6250001169728261e-02 9.9999981426775453e-01 1.5161942857521573e-07 9.9999969044629177e+02 1.4999998142677712e+03
2.8750001743594725e-02 9.9999972663914782e-01 2.2315358974007032e-07 9.9999954439864496e+02 1.4999997266391708e+03
3.1250002585587265e-02 9.9999959976697683e-01 3.2672359731651909e-07 9.9999933294509003e+02 1.4999995997670094e+03
3.3750003814491489e-02 9.9999941710998208e-01 4.7583264888757895e-07 9.9999902851691297e+02 1.4999994171100564e+03
3.6250005598605278e-02 9.9999915559968167e-01 6.8931233224978606e-07 9.9999859266668750e+02 1.4999991555997956e+03
3.8750008174956219e-02 9.9999878332103020e-01 9.9321601492638293e-07 9.9999797220289770e+02 1.4999987833213208e+03
4.1250011875401414e-02 9.9999825632582950e-01 1.4234201867738730e-06 9.9999709387881637e+02 1.4999982563264398e+03
4.3750017161845810e-02 9.9999751452479968e-01 2.0289779897235525e-06 9.9999585754624445e+02 1.4999975145259896e+03
4.6250024673329844e-02 9.9999647630037047e-01 2.8765169847574758e-06 9.9999412717709936e+02 1.4999964763026767e+03
4.8750035288595547e-02 9.9999503151181113e-01 4.0559496286806414e-06 9.9999171920566835e+02 1.4999950315161000e+03
5.1250050208599421e-02 9.9999303253391991e-01 5.6877888439227309e-06 9.9998838759439320e+02 1.4999930325421644e+03
5.3750071064521440e-02 9.9999028282379032e-01 7.9324823564610017e-06 9.9998380477956175e+02 1.4999902828392337e+03
5.6250100058067951e-02 9.9998652252308529e-01 1.1002166937970411e-05 9.9997753767869790e+02 1.4999865225517769e+03
5.8750140142300247e-02 9.9998141044262900e-01 1.5175377499713678e-05 9.9996901766966755e+02 1.4999814104949869e+03
6.1250195252863099e-02 9.9997450177105207e-01 2.0815247765760914e-05 9.9995750344831458e+02 1.4999745018657363e+03
6.3750270601247383e-02 9.9996522076163730e-01 2.8391814361068437e-05 9.9994203552129898e+02 1.4999652209299029e+03
6.6250373043635596e-02 9.9995282761819926e-01 3.8509059668773605e-05 9.9992138104467836e+02 1.4999528279144990e+03
